Timestamp,What is your Grade Level?,Have you ever spent or been asked to spend real money on a video game?,How often do you make in-game purchases?,"If you have made in-game purchases, around how much money have you spent in total?",How much do you spend monthly on in-game purchases?,What do you usually buy?,What is your main reason for spending money in-game?,Do you feel in game purchases improve your enjoyment when playing games?,Do you try to budget yourself? How much monthly?,Have you ever spent more money than expected?,Which of the following would encourage you the most to buy?
2/3/2026 12:16:42,10,Yes,Rarely,$50,Nothing,"Battle passes, Cosmetics (Skins, outfits, pets etc.), Currency (V-Bucks, Robux, Steam Cash, Giftcards), Downloadable Content (DLC)",Personalization & Customization,Maybe,I don't spend money on games,Yes,Limited Time Items
2/3/2026 12:19:43,10,Yes,Sometimes,$1000+,$15 - $30,"Cosmetics (Skins, outfits, pets etc.), Currency (V-Bucks, Robux, Steam Cash, Giftcards), Donation (e.g. Twitch sub/Youtube member), Subscriptions, Downloadable Content (DLC)",Personalization & Customization,Maybe,$15 - 30,Yes,Customization
2/3/2026 12:20:21,10,Yes,Rarely,$10,$1 - $10,"Currency (V-Bucks, Robux, Steam Cash, Giftcards)",Faster progression,Yes,$1 - $5,No,Limited Time Items
2/3/2026 12:21:32,10,Yes,Rarely,$10,$1 - $10,"Cosmetics (Skins, outfits, pets etc.), Currency (V-Bucks, Robux, Steam Cash, Giftcards), Subscriptions",Personalization & Customization,Maybe,$15 - 30,Yes,Faster Progression
2/3/2026 12:21:48,10,Yes,Rarely,$100,$1 - $10,"Cosmetics (Skins, outfits, pets etc.), Currency (V-Bucks, Robux, Steam Cash, Giftcards), Downloadable Content (DLC)",Personalization & Customization,Yes,"I rarely spend money on games, so even monthly would be pushing it. I'd say I make an in-game purchase probably once every 3 or 4 months, and even then I usually won't go above $1 - 20.",No,Limited Time Items
2/3/2026 12:31:44,10,Yes,Sometimes,$50,Nothing,"Currency (V-Bucks, Robux, Steam Cash, Giftcards)",Personalization & Customization,Yes,$1 - $5,No,Customization
2/3/2026 12:34:04,10,Yes,Rarely,$500,$1 - $10,Downloadable Content (DLC),Exclusive Content and items,Maybe,I spend money very wildly. Sometimes I spend $100 in a month and then go 10 months without spending a penny.,No,Sales or Discounts
2/3/2026 12:38:45,10,Yes,Rarely,$100,Nothing,"Currency (V-Bucks, Robux, Steam Cash, Giftcards), Downloadable Content (DLC)",Exclusive Content and items,Maybe,$1 - $5,No,Sales or Discounts
2/3/2026 12:46:41,10,Yes,Rarely,$100,$15 - $30,"Battle passes, Cosmetics (Skins, outfits, pets etc.), Currency (V-Bucks, Robux, Steam Cash, Giftcards)",Personalization & Customization,Yes,$15 - 30,No,Sales or Discounts
2/3/2026 12:46:46,10,Yes,Rarely,$100,$1 - $10,"Cosmetics (Skins, outfits, pets etc.), Currency (V-Bucks, Robux, Steam Cash, Giftcards), Donation (e.g. Twitch sub/Youtube member), Loot boxes / Gacha",Faster progression,Yes,$1 - $5,No,Faster Progression
2/3/2026 12:48:04,10,Yes,Sometimes,$50,$1 - $10,"Cosmetics (Skins, outfits, pets etc.), Currency (V-Bucks, Robux, Steam Cash, Giftcards)",Personalization & Customization,Yes,$15 - 30,No,Sales or Discounts
2/3/2026 13:12:26,10,Yes,Sometimes,$500,$15 - $30,"Cosmetics (Skins, outfits, pets etc.), Currency (V-Bucks, Robux, Steam Cash, Giftcards), Subscriptions, Downloadable Content (DLC)",Personalization & Customization,Maybe,$15 - 30,Yes,Faster Progression
2/4/2026 10:51:59,10,Yes,Rarely,$1000+,$45 - $100,"Currency (V-Bucks, Robux, Steam Cash, Giftcards)",Faster progression,Yes,$40 - $80,Yes,Sales or Discounts
2/4/2026 11:07:01,Post-Graduation/Adult,Yes,Often,$1000+,$45 - $100,"Battle passes, Cosmetics (Skins, outfits, pets etc.), Currency (V-Bucks, Robux, Steam Cash, Giftcards), Subscriptions, Downloadable Content (DLC)",Personalization & Customization,Yes,$40 - $80,Yes,Limited Time Items
2/4/2026 11:17:18,10,Yes,Rarely,None,Nothing,Nothing,I don't spend money on games,Yes,I don't spend money on games,No,Faster Progression
2/4/2026 11:18:51,10,Yes,Rarely,$10,$1 - $10,"Battle passes, Cosmetics (Skins, outfits, pets etc.), Currency (V-Bucks, Robux, Steam Cash, Giftcards), Donation (e.g. Twitch sub/Youtube member), Loot boxes / Gacha, Subscriptions, Downloadable Content (DLC), Nothing",I don't spend money on games,Yes,$1 - $5,No,Sales or Discounts
2/4/2026 11:25:29,10,Yes,Rarely,$100,$1 - $10,"Battle passes, Cosmetics (Skins, outfits, pets etc.), Currency (V-Bucks, Robux, Steam Cash, Giftcards), Subscriptions, Downloadable Content (DLC)",Exclusive Content and items,Yes,$1 - $5,No,Sales or Discounts
2/4/2026 11:31:55,11,Yes,Rarely,$1000+,$15 - $30,"Cosmetics (Skins, outfits, pets etc.), Subscriptions",Personalization & Customization,Yes,I'm rich cause I work with NVIDIA,No,Customization
2/4/2026 12:39:02,10,Yes,Sometimes,$500,$15 - $30,"Battle passes, Cosmetics (Skins, outfits, pets etc.), Currency (V-Bucks, Robux, Steam Cash, Giftcards), Downloadable Content (DLC)",Personalization & Customization,Yes,$15 - 30,Yes,Customization
2/4/2026 21:22:52,Post-Graduation/Adult,Yes,Sometimes,$10,$1 - $10,"Currency (V-Bucks, Robux, Steam Cash, Giftcards), Subscriptions",Personalization & Customization,I don't know,$1 - $5,No,Faster Progression
2/4/2026 21:30:22,Post-Graduation/Adult,No,Rarely,$50,Nothing,Downloadable Content (DLC),I don't spend money on games,Maybe,I don't spend money on games,No,Limited Time Items
2/4/2026 22:15:12,Post-Graduation/Adult,Yes,Sometimes,$50,$45 - $100,"Battle passes, Cosmetics (Skins, outfits, pets etc.), Currency (V-Bucks, Robux, Steam Cash, Giftcards)",Exclusive Content and items,Yes,$15 - 30,No,Limited Time Items
2/5/2026 10:55:15,Post-Graduation/Adult,Yes,Rarely,$500,$15 - $30,"Battle passes, Subscriptions, Downloadable Content (DLC)",To compete with other players,No,$40 - $80,Yes,Sales or Discounts
2/5/2026 12:14:58,10,Yes,Rarely,$10,Nothing,"Battle passes, Cosmetics (Skins, outfits, pets etc.), Currency (V-Bucks, Robux, Steam Cash, Giftcards), Subscriptions",Personalization & Customization,Yes,$15 - 30,No,Limited Time Items
2/5/2026 12:17:34,10,Yes,Often,$1000+,$100+,"Battle passes, Cosmetics (Skins, outfits, pets etc.), Currency (V-Bucks, Robux, Steam Cash, Giftcards), Loot boxes / Gacha, Subscriptions, Downloadable Content (DLC)",To compete with other players,Yes,$100+,Yes,Limited Time Items
2/5/2026 12:57:23,12,Yes,Never,None,Nothing,Nothing,I don't spend money on games,No,I don't spend money on games,No,Faster Progression
2/5/2026 12:59:42,12,Yes,Rarely,$500,Nothing,"Battle passes, Cosmetics (Skins, outfits, pets etc.), Currency (V-Bucks, Robux, Steam Cash, Giftcards)",Exclusive Content and items,Maybe,I don't spend money on games,No,Limited Time Items
2/6/2026 9:44:15,12,Yes,Sometimes,$1000+,$15 - $30,"Cosmetics (Skins, outfits, pets etc.), Currency (V-Bucks, Robux, Steam Cash, Giftcards), Downloadable Content (DLC)",Personalization & Customization,Yes,I don't budget,No,Sales or Discounts
2/6/2026 10:01:07,12,Yes,Rarely,$500,$1 - $10,"Battle passes, Cosmetics (Skins, outfits, pets etc.), Downloadable Content (DLC)",Exclusive Content and items,Yes,$15 - 30,Yes,Limited Time Items
2/6/2026 10:49:30,9,Yes,Rarely,$50,Nothing,"Currency (V-Bucks, Robux, Steam Cash, Giftcards)",Personalization & Customization,Yes,$1 - $5,Yes,Sales or Discounts
2/6/2026 10:50:38,10,Yes,Rarely,$1000+,$15 - $30,"Cosmetics (Skins, outfits, pets etc.), Currency (V-Bucks, Robux, Steam Cash, Giftcards), Loot boxes / Gacha, Downloadable Content (DLC)",Personalization & Customization,Yes,$40 - $80,Yes,Customization
2/6/2026 10:51:58,10,Yes,Sometimes,$100,$1 - $10,Gamepasses,Personalization & Customization,Yes,$1 - $5,No,Sales or Discounts
2/6/2026 10:52:33,11,Yes,Rarely,$100,$1 - $10,"Battle passes, Cosmetics (Skins, outfits, pets etc.), Currency (V-Bucks, Robux, Steam Cash, Giftcards), Subscriptions, Downloadable Content (DLC)",Personalization & Customization,Yes,$15 - 30,Yes,Sales or Discounts
2/6/2026 11:06:12,10,Yes,Often,$500,$45 - $100,"Battle passes, Cosmetics (Skins, outfits, pets etc.), Currency (V-Bucks, Robux, Steam Cash, Giftcards), Loot boxes / Gacha",Personalization & Customization,Yes,$40 - $80,Yes,Customization
2/6/2026 11:12:31,10,Yes,Rarely,$500,Nothing,"Currency (V-Bucks, Robux, Steam Cash, Giftcards), Subscriptions, Full version",Personalization & Customization,Yes,"I buy it when i feel like it, not monthly",Yes,Customization
2/6/2026 11:14:03,10,Yes,Often,$1000+,$45 - $100,"Cosmetics (Skins, outfits, pets etc.), Currency (V-Bucks, Robux, Steam Cash, Giftcards)",To compete with other players,Yes,$15 - 30,Yes,Sales or Discounts
2/6/2026 11:15:03,10,No,Never,None,Nothing,Nothing,I don't spend money on games,I don't know,I don't spend money on games,No,Faster Progression
2/6/2026 11:19:11,10,Yes,Rarely,$10,Nothing,"Currency (V-Bucks, Robux, Steam Cash, Giftcards)",I don't spend money on games,Maybe,I don't spend money on games,No,Sales or Discounts
2/6/2026 11:22:56,10,Yes,Rarely,$50,Nothing,"Battle passes, Cosmetics (Skins, outfits, pets etc.), Currency (V-Bucks, Robux, Steam Cash, Giftcards)",Personalization & Customization,Yes,$1 - $5,No,Customization
2/6/2026 11:24:33,10,Yes,Often,$1000+,$100+,"Battle passes, Cosmetics (Skins, outfits, pets etc.), Currency (V-Bucks, Robux, Steam Cash, Giftcards), Donation (e.g. Twitch sub/Youtube member), Loot boxes / Gacha, Downloadable Content (DLC), ",Faster progression,Yes,$100+,Yes,Faster Progression
2/6/2026 11:26:35,10,Yes,Rarely,$10,$1 - $10,"Currency (V-Bucks, Robux, Steam Cash, Giftcards)",Personalization & Customization,Maybe,$1 - $5,Yes,Limited Time Items
2/6/2026 11:36:21,11,Yes,Never,None,Nothing,Nothing,I don't spend money on games,I don't know,I don't spend money on games,No,Faster Progression
2/6/2026 11:38:35,9,Yes,Rarely,$500,$1 - $10,"Currency (V-Bucks, Robux, Steam Cash, Giftcards), Downloadable Content (DLC)",Exclusive Content and items,Maybe,$1 - $5,Yes,Sales or Discounts
2/6/2026 11:42:30,9,No,Sometimes,$50,$1 - $10,"Cosmetics (Skins, outfits, pets etc.), Loot boxes / Gacha, Downloadable Content (DLC)",Exclusive Content and items,Yes,$15 - 30,Yes,Limited Time Items
2/6/2026 11:43:18,10,Yes,Never,None,$1 - $10,Nothing,I don't spend money on games,No,I don't spend money on games,No,Faster Progression
2/6/2026 12:07:50,11,Yes,Never,None,Nothing,Nothing,I don't spend money on games,Maybe,I don't spend money on games,No,Customization
2/6/2026 12:33:55,11,Yes,Rarely,$500,Nothing,"Cosmetics (Skins, outfits, pets etc.), Loot boxes / Gacha, Downloadable Content (DLC)",Exclusive Content and items,Yes,$100+,Yes,Sales or Discounts
2/6/2026 13:17:52,11,Yes,Rarely,$10,$1 - $10,"Currency (V-Bucks, Robux, Steam Cash, Giftcards)",Personalization & Customization,Yes,$1 - $5,No,Customization
2/6/2026 13:20:05,11,Yes,Rarely,$500,$1 - $10,"Battle passes, Cosmetics (Skins, outfits, pets etc.), Currency (V-Bucks, Robux, Steam Cash, Giftcards)",Personalization & Customization,Yes,$1 - $5,Yes,Limited Time Items
2/6/2026 13:21:44,9,Yes,Rarely,$100,$1 - $10,"Battle passes, Cosmetics (Skins, outfits, pets etc.), Currency (V-Bucks, Robux, Steam Cash, Giftcards)",Personalization & Customization,Yes,I don't spend money on games,Yes,Limited Time Items
2/6/2026 13:22:11,9,Yes,Often,$500,$45 - $100,"Battle passes, Cosmetics (Skins, outfits, pets etc.), Currency (V-Bucks, Robux, Steam Cash, Giftcards), Downloadable Content (DLC)",Personalization & Customization,Yes,$40 - $80,No,Sales or Discounts
2/6/2026 13:22:27,9,Yes,Rarely,$500,$1 - $10,"Battle passes, Cosmetics (Skins, outfits, pets etc.), Currency (V-Bucks, Robux, Steam Cash, Giftcards), Subscriptions, Downloadable Content (DLC)",Faster progression,Maybe,5-10,Yes,Sales or Discounts
2/6/2026 13:22:58,9,Yes,Rarely,$50,Nothing,"Currency (V-Bucks, Robux, Steam Cash, Giftcards), Downloadable Content (DLC)",Exclusive Content and items,Maybe,"I rarely spend, but usually under 30",No,Sales or Discounts
2/6/2026 13:23:04,9,Yes,Sometimes,$500,$15 - $30,"Battle passes, Cosmetics (Skins, outfits, pets etc.), Currency (V-Bucks, Robux, Steam Cash, Giftcards), Loot boxes / Gacha, Subscriptions",To compete with other players,Yes,$1 - $5,Yes,Sales or Discounts
2/6/2026 13:23:50,9,Yes,Sometimes,$50,$1 - $10,"Battle passes, Cosmetics (Skins, outfits, pets etc.), Downloadable Content (DLC)",Faster progression,Yes,$1 - $5,No,Faster Progression
2/6/2026 13:24:53,9,Yes,Rarely,$100,$1 - $10,"Battle passes, Cosmetics (Skins, outfits, pets etc.), Currency (V-Bucks, Robux, Steam Cash, Giftcards)",Personalization & Customization,Yes,I don't spend money on games,No,Limited Time Items
2/6/2026 13:25:51,9,Yes,Sometimes,$100,$1 - $10,"Currency (V-Bucks, Robux, Steam Cash, Giftcards)",Personalization & Customization,Maybe,$1 - $5,Yes,Sales or Discounts
2/6/2026 13:26:09,9,Yes,Sometimes,$50,$1 - $10,"Cosmetics (Skins, outfits, pets etc.), Currency (V-Bucks, Robux, Steam Cash, Giftcards)",Personalization & Customization,Maybe,$15 - 30,No,Customization
2/6/2026 13:26:38,9,Yes,Rarely,$50,Nothing,"Currency (V-Bucks, Robux, Steam Cash, Giftcards), Loot boxes / Gacha, Downloadable Content (DLC)",Faster progression,Yes,$15 - 30,No,Sales or Discounts
2/6/2026 13:26:44,9,Yes,Sometimes,$500,$15 - $30,"Currency (V-Bucks, Robux, Steam Cash, Giftcards), Subscriptions",Personalization & Customization,Yes,$15 - 30,Yes,Sales or Discounts
2/6/2026 13:27:14,9,Yes,Rarely,$50,Nothing,"Battle passes, Cosmetics (Skins, outfits, pets etc.)",Personalization & Customization,Yes,I don't spend money on games,No,Customization
2/6/2026 13:28:19,9,Yes,Sometimes,$500,$15 - $30,"Currency (V-Bucks, Robux, Steam Cash, Giftcards)",Personalization & Customization,Yes,$15 - 30,No,Sales or Discounts
2/6/2026 13:28:47,9,Yes,Never,None,Nothing,Nothing,I don't spend money on games,Maybe,I don't spend money on games,No,Limited Time Items
2/6/2026 13:29:12,9,Yes,Sometimes,$500,$15 - $30,"Currency (V-Bucks, Robux, Steam Cash, Giftcards), Subscriptions",Exclusive Content and items,Yes,$40 - $80,Yes,Customization
2/6/2026 13:29:21,9,Yes,Rarely,$500,$15 - $30,"Cosmetics (Skins, outfits, pets etc.), Currency (V-Bucks, Robux, Steam Cash, Giftcards), Subscriptions, Downloadable Content (DLC)",Exclusive Content and items,Yes,$15 - 30,Yes,Sales or Discounts
2/6/2026 13:30:29,9,Yes,Rarely,$50,$1 - $10,"Subscriptions, Downloadable Content (DLC)",Exclusive Content and items,Yes,"I do not spend money unless I really want it and that is very rarely, outside of a monthly basis.",Yes,Sales or Discounts
2/6/2026 13:32:14,9,Yes,Rarely,$50,Nothing,"Currency (V-Bucks, Robux, Steam Cash, Giftcards), Downloadable Content (DLC)",Exclusive Content and items,Maybe,I rarely spend money so however much I need for that thing.,No,Sales or Discounts
2/6/2026 13:33:42,9,Yes,Rarely,$50,$1 - $10,"Cosmetics (Skins, outfits, pets etc.), Currency (V-Bucks, Robux, Steam Cash, Giftcards)",Personalization & Customization,Yes,$15 - 30,No,Customization
2/6/2026 13:35:35,9,Yes,Sometimes,$50,$15 - $30,"Battle passes, Cosmetics (Skins, outfits, pets etc.), Loot boxes / Gacha, Subscriptions, Downloadable Content (DLC), R6",To compete with other players,Yes,$40 - $80,Yes,Customization
2/6/2026 13:37:28,9,Yes,Sometimes,$50,$15 - $30,"Battle passes, Cosmetics (Skins, outfits, pets etc.), Currency (V-Bucks, Robux, Steam Cash, Giftcards), Loot boxes / Gacha, Subscriptions, R6",To compete with other players,Yes,$15 - 30,Yes,Customization
2/7/2026 11:22:05,9,Yes,Never,None,Nothing,Nothing,I don't spend money on games,I don't know,I don't spend money on games,No,Limited Time Items
2/7/2026 23:06:33,11,Yes,Sometimes,$500,$15 - $30,"Cosmetics (Skins, outfits, pets etc.), Currency (V-Bucks, Robux, Steam Cash, Giftcards), sometimes your happiness or someone else's has a cost and sometimes you're able to pay and sometimes you want it that much so you do it",Faster progression,Maybe,I generally try not to spend as much but sometimes requested so I gotta,Yes,Sales or Discounts
2/9/2026 9:12:05,11,Yes,Rarely,$10,Nothing,"Cosmetics (Skins, outfits, pets etc.), Currency (V-Bucks, Robux, Steam Cash, Giftcards), Subscriptions, Downloadable Content (DLC)",Exclusive Content and items,Maybe,I don't spend money on games,No,Sales or Discounts
2/9/2026 9:13:40,12,No,Never,None,Nothing,Nothing,I don't spend money on games,No,I don't spend money on games,No,Sales or Discounts
2/9/2026 10:45:02,Post-Graduation/Adult,Yes,Rarely,$10,$1 - $10,"Cosmetics (Skins, outfits, pets etc.)",Faster progression,Yes,$1 - $5,No,Sales or Discounts
2/9/2026 10:46:00,Post-Graduation/Adult,Yes,Sometimes,$500,$15 - $30,"Battle passes, Cosmetics (Skins, outfits, pets etc.), Currency (V-Bucks, Robux, Steam Cash, Giftcards), Donation (e.g. Twitch sub/Youtube member), Subscriptions, Downloadable Content (DLC)",Personalization & Customization,Yes,$40 - $80,No,Faster Progression
2/9/2026 10:51:20,12,No,Never,None,Nothing,Nothing,I don't spend money on games,No,I don't spend money on games,No,Sales or Discounts
2/9/2026 10:56:15,11,Yes,Rarely,$1000+,$1 - $10,"Currency (V-Bucks, Robux, Steam Cash, Giftcards), Subscriptions",Faster progression,Yes,$15 - 30,Yes,Sales or Discounts
2/9/2026 10:58:57,11,Yes,Rarely,$100,Nothing,"Cosmetics (Skins, outfits, pets etc.), Currency (V-Bucks, Robux, Steam Cash, Giftcards)",Personalization & Customization,Yes,$15 - 30,No,Sales or Discounts
2/9/2026 10:59:14,11,Yes,Sometimes,$10,$1 - $10,"Currency (V-Bucks, Robux, Steam Cash, Giftcards), Subscriptions, No ads",Faster progression,Yes,$1 - $5,No,Faster Progression
2/9/2026 11:06:04,11,No,Never,None,Nothing,Nothing,I don't spend money on games,I don't know,I don't spend money on games,No,Sales or Discounts
2/9/2026 11:09:45,12,Yes,Rarely,$100,Nothing,"Battle passes, Cosmetics (Skins, outfits, pets etc.), Currency (V-Bucks, Robux, Steam Cash, Giftcards)",Personalization & Customization,Yes,$1 - $5,No,Customization
2/9/2026 11:26:18,11,Yes,Rarely,$10,Nothing,"Battle passes, Currency (V-Bucks, Robux, Steam Cash, Giftcards), Subscriptions",Personalization & Customization,Yes,$1 - $5,No,Sales or Discounts
2/9/2026 11:48:16,12,Yes,Rarely,$50,$1 - $10,"Cosmetics (Skins, outfits, pets etc.), Currency (V-Bucks, Robux, Steam Cash, Giftcards), Loot boxes / Gacha",Faster progression,I don't know,"it not over a period of time, more so if its something i want and can have the luxury of getting.",No,Faster Progression
2/9/2026 12:01:22,12,Yes,Rarely,$50,$1 - $10,"Battle passes, Cosmetics (Skins, outfits, pets etc.), Currency (V-Bucks, Robux, Steam Cash, Giftcards), Donation (e.g. Twitch sub/Youtube member)",Personalization & Customization,No,$1 - $5,No,Customization
2/9/2026 12:09:56,10,No,Rarely,$10,$1 - $10,Nothing,I don't spend money on games,I don't know,I don't spend money on games,No,Limited Time Items
2/9/2026 12:29:09,12,No,Never,None,Nothing,Nothing,I don't spend money on games,I don't know,I don't spend money on games,No,Sales or Discounts
2/9/2026 12:41:49,11,Yes,Sometimes,$1000+,$45 - $100,"Battle passes, Cosmetics (Skins, outfits, pets etc.), Currency (V-Bucks, Robux, Steam Cash, Giftcards), Subscriptions",To compete with other players,Yes,$40 - $80,Yes,Limited Time Items
2/10/2026 10:16:35,11,Yes,Sometimes,$500,Nothing,"Cosmetics (Skins, outfits, pets etc.), Currency (V-Bucks, Robux, Steam Cash, Giftcards), Downloadable Content (DLC)",Personalization & Customization,Yes,$15 - 30,Yes,Customization
2/10/2026 10:37:47,Post-Graduation/Adult,Yes,Rarely,$50,$1 - $10,"Cosmetics (Skins, outfits, pets etc.), Currency (V-Bucks, Robux, Steam Cash, Giftcards)",Personalization & Customization,Yes,$1 - $5,No,Sales or Discounts
2/10/2026 10:45:35,Post-Graduation/Adult,Yes,Sometimes,$500,$15 - $30,"Currency (V-Bucks, Robux, Steam Cash, Giftcards), Subscriptions, Downloadable Content (DLC)",Exclusive Content and items,Maybe,"If it’s a big want I’ll get it, I try to prioritize needs and wants",Yes,Sales or Discounts
2/10/2026 10:50:07,Post-Graduation/Adult,Yes,Never,$1000+,Nothing,Nothing,I don't spend money on games,I don't know,I don't spend money on games,No,Limited Time Items
2/10/2026 10:50:53,Post-Graduation/Adult,Yes,Rarely,$10,Nothing,"Cosmetics (Skins, outfits, pets etc.)",Exclusive Content and items,Yes,$1 - $5,Yes,Customization
2/10/2026 11:47:41,Post-Graduation/Adult,Yes,Rarely,$500,Nothing,Downloadable Content (DLC),Exclusive Content and items,Maybe,Its not consistent enough to budget,No,Sales or Discounts
2/10/2026 14:32:56,11,Yes,Rarely,$500,Nothing,"Battle passes, Currency (V-Bucks, Robux, Steam Cash, Giftcards), Subscriptions",Personalization & Customization,Yes,$1 - $5,Yes,Faster Progression
2/10/2026 20:39:35,12,Yes,Rarely,$50,Nothing,Loot boxes / Gacha,Faster progression,Maybe,$1 - $5,Yes,Limited Time Items
2/11/2026 8:25:22,12,Yes,Rarely,$10,Nothing,Nothing,Personalization & Customization,No,I don't spend money on games,No,Customization
2/11/2026 8:59:16,9,Yes,Rarely,$50,Nothing,"Battle passes, Cosmetics (Skins, outfits, pets etc.), Currency (V-Bucks, Robux, Steam Cash, Giftcards)",Personalization & Customization,Yes,I don't spend money on games,Yes,Limited Time Items
2/11/2026 9:40:50,12,Yes,Never,None,Nothing,Nothing,I don't spend money on games,Maybe,I don't spend money on games,No,Sales or Discounts
2/11/2026 10:45:46,12,Yes,Never,$100,Nothing,"Currency (V-Bucks, Robux, Steam Cash, Giftcards)",Exclusive Content and items,Maybe,$15 - 30,Yes,Sales or Discounts
2/11/2026 10:46:12,12,Yes,Rarely,$10,Nothing,"Battle passes, Downloadable Content (DLC)",Exclusive Content and items,Yes,$1 - $5,No,Sales or Discounts